,unnamed: 0,sentence
0,0.0,﻿Tugende e Makindye tulabe abayimbi n'abazannyi ba katemba abalungi.
1,1.0,Emmere etali nsiike ebeera nnungi eri emibiri gyaffe kuba tebaamu butwa.
2,2.0,Abawala abalungi baagalwa buli muntu naye abasinga tebabeera na mpisa.
3,3.0,Wali obaddeko awo n'owulira ng'omutwe gulinga ogukwetooloola?
4,4.0,Abayizi abatuula mu maaso batera okuba nga bategeera mangu ebibeera bisomesebwa.
5,5.0,Abagenda okuvuganya mu kalulu balina okweyisa obulungi basobole okufuna obululu.
6,6.0,Obadde okimanyi nti emmotoka ensangi zino si za buseere nga edda?
7,7.0,Leero nze ngenda okkugulira ekyemisana n'ekyeggulo.
8,8.0,Omubaka w'ekitundu kino afuddeyo okulaba nga abaana basoma basobole okufuna emirimu.
9,9.0,Olunaku lwe twasanga omusezi nga tuva mu ndongo sirirwerabira obulamu bwange bwonna.
10,10.0,Taata w'abaana bange ennaku zino adda kiro ate agenda tebunnakya.
11,11.0,Omusumba yabadde tannalinnya ku kituuti enkuba n'etandika okutonnya.
12,12.0,Embaata kinyonyi kirungi naye tekirundika mu kifo kifunda nga wano.
13,13.0,Omuwala agenda okufumbirwa oteekwa okutuukiriza emikolo gino nga obuwangwa bwe bugamba.
14,14.0,Oteekwa okufaayo ennyo ku lulimi lw'okozesa mu banno naddala nga oli mu baana abato.
15,15.0,Okulima ensangi zino tekukyalimu nnyo ssete nga bwe kyali edda mu mirembe egyasooka.
16,16.0,Obadde okimanyi nti ebitone okugeza okuzannya akapiira birimu nnyo ssente?
17,17.0,Gendako e Kampala olabe abantu bwe batuuyana okufuna ssente ekiro n'emisana.
18,18.0,Okusooka buli muntu yali amanyi nti omusajja oyo tazaala naye kati alina abaana basatu.
19,19.0,Nze omuntu ayogera nga nsomesa mpulira nga njagala kumukuba.
20,20.0,Abaana abasinga bazannyisa okusoma kuba tebamanyi birungi bikulimu.
21,21.0,Omanyi bwe balima obutiko nga teweeyambisa bigimusa?
22,22.0,Omukazi asaanye ayagalwe nnyo kuba abonaabona nnyo nga ali lubuto.
23,23.0,Obulogo kikolwa kibi nnyo era eddiini ekivumirira kuba si kya bwakatonda.
24,24.0,Lwaki teweenenya n'osenza omulokozi mu bulamu bwo?
25,25.0,Muganda wange ono azannya mizannyo ate nze ndi musomesa.
