,sentence
0,﻿Tugende e Makindye tulabe abayimbi n'abazannyi ba katemba abalungi.
1,Emmere etali nsiike ebeera nnungi eri emibiri gyaffe kuba tebaamu butwa.
2,Abawala abalungi baagalwa buli muntu naye abasinga tebabeera na mpisa.
3,Wali obaddeko awo n'owulira ng'omutwe gulinga ogukwetooloola?
4,Abayizi abatuula mu maaso batera okuba nga bategeera mangu ebibeera bisomesebwa.
5,Abagenda okuvuganya mu kalulu balina okweyisa obulungi basobole okufuna obululu.
6,Obadde okimanyi nti emmotoka ensangi zino si za buseere nga edda?
7,Leero nze ngenda okkugulira ekyemisana n'ekyeggulo.
8,Omubaka w'ekitundu kino afuddeyo okulaba nga abaana basoma basobole okufuna emirimu.
9,Olunaku lwe twasanga omusezi nga tuva mu ndongo sirirwerabira obulamu bwange bwonna.
10,Taata w'abaana bange ennaku zino adda kiro ate agenda tebunnakya.
11,Omusumba yabadde tannalinnya ku kituuti enkuba n'etandika okutonnya.
12,Embaata kinyonyi kirungi naye tekirundika mu kifo kifunda nga wano.
13,Omuwala agenda okufumbirwa oteekwa okutuukiriza emikolo gino nga obuwangwa bwe bugamba.
14,Oteekwa okufaayo ennyo ku lulimi lw'okozesa mu banno naddala nga oli mu baana abato.
15,Okulima ensangi zino tekukyalimu nnyo ssete nga bwe kyali edda mu mirembe egyasooka.
16,Obadde okimanyi nti ebitone okugeza okuzannya akapiira birimu nnyo ssente?
17,Gendako e Kampala olabe abantu bwe batuuyana okufuna ssente ekiro n'emisana.
18,Okusooka buli muntu yali amanyi nti omusajja oyo tazaala naye kati alina abaana basatu.
19,Nze omuntu ayogera nga nsomesa mpulira nga njagala kumukuba.
20,Abaana abasinga bazannyisa okusoma kuba tebamanyi birungi bikulimu.
21,Omanyi bwe balima obutiko nga teweeyambisa bigimusa?
22,Omukazi asaanye ayagalwe nnyo kuba abonaabona nnyo nga ali lubuto.
23,Obulogo kikolwa kibi nnyo era eddiini ekivumirira kuba si kya bwakatonda.
24,Lwaki teweenenya n'osenza omulokozi mu bulamu bwo?
25,Muganda wange ono azannya mizannyo ate nze ndi musomesa.
26,Omukyala oli agambye ogende mwogeremu alekere awo okutubuuza ebibuuzo ebingi.
27,Lwaki wano tetulinaawo kitabo kya bagenyi mwe tulina okuwandiika nga tutuuse?
28,Okusooka kwa byonna nnawulidde nga nfa ensonyi bwe nnalabye maama.
29,Sisobola kwagala mukazi yenna atali wa nzikiriza yange kuba maama takyagala.
30,Ku lunaku lw'embaga abantu baali bangi nnyo nga tolina w'oyisa kigere.
31,Fumba ebikoola by'entula oluvannyuma ogattemu amazzi obinywe.
32,Ssenga waffe mukazi mukambwe naye asonyiwa mangu nnyo.
33,Essimu z'ekiro ziviiriddeko obufumbo bungi nnyo okusasika ensangi zino mu bavubuka.
34,Okuwasa amangu kirungi nnyo wabula kikutwalira ebbanga okwezimba.
35,Omuntu omukulu nga akola eby'ekito owulira nga akutabula n'oyagala okumukuba.
36,Nze sirina ssente naye ate siyinza kukemebwa kubba oba okumenya amateeka.
37,Ebiseera mwe nnatandikira okusoma ewaka twalina ssente ntono nnyo.
38,Mwenna musooke mufulume ono amalirize okwera ekibiina kino nga bwe nnamugambye.
39,Fuba nnyo okulaba nga okuza abaana bo nga balina empisa kuba kibayamba.
40,Olina okuba nga wasomye nnyo okusobola okuyita ekibuuzo kino.
41,Tugende e Ntwetwe tulabe ku bye balimayo.
42,Genda mu nnyumba olabe oba abaana bakyatunula.
43,Yalafuubana nnyo okulaba nga abaana be basoma wadde omu yagaana.
44,Omugagga yatuuka okugula ettaka nga omukyala gwe yalese mu mmotoka amulengera.
45,Omukadde oyo muyonjo nnyo n'okusinga abavubuka abato.
46,Gwe tunuulira ennyumba ye bw'efaanana.
47,Ekintu ekisinga okunnuma kwe kulaba ng'omuntu tasiima kintu kimukoleddwa.
48,Nfuniraayo emitwalo ataano naye amabanja gagenda kunsibya.
49,Omukulu ono yatugamba okufukiriza obucupa ebimera naye kimenya nnyo.
50,Essaawa zino buli muntu mmusuubira okuba nga yamalirizza okwewandiisa.
51,Okubumba nagwo kati mulimu mulungi nnyo.
52,Buli muganda tumusuubira okubeera ng'alina ekika.
53,Ekintu ekisinga obukulu kwe kuba nga obadde olina ekintu ky'okolako.
54,Omulimu guno mukulu nnyo eri buli muntu ali wano.
55,Enfunda eziwera omusajja oyo twesanze nga tumuzuulamu obuvuyo.
56,Omuyaga gw'ebyobufuzi oguliwo gugenda kuzingamya okuyimba.
57,Abayimbi okusooka baali tebaatwalibwa nga bantu ba mugaso naye kati kyakyuka.
58,Endowooza eyo yali nkyamu kuba omwana oli teyalina buzibu.
59,Mu kulaba okwange nze nali nteekeddwa okukwetondera.
60,Wabula nnina ekintu kye neetaaga mu bulamu bwange.
61,Obadde olowooza nti bagenda kuleetera ssente mmeka?
62,Ekizimbe kiri kinene naye abaakizimba baakiwa omulyango mutono.
63,Ne bwe nsirika era ontandika ng'onnoonyaako olutalo.
64,Omukyala oyo amaze ebbanga eriwera nga anjogerera amafuukuule.
65,Ebisinga mbitegedde naye olulimi olw'okukozesa lwe lunsumbuwa.
66,Abasinga balowooza nti omuntu asoma Oluganda aba tamanyi Lungereza.
67,Emirundi giweze nga omukulu oyo takkiriza banne kweyagalira mu ggwanga.
68,Ebivvulu bye ebisukka mu bikumi ebitaano byonna biwereddwa.
69,Nteraako emmere ntono nnyo kuba gye tuva tusoose kulya.
70,Omusirikale omulungi ateekwa okuba ng'alina obusobozi okunoonyereza.
71,Naye lwaki abasomesa basasulwa omusaala mutono ate ne gulwayo?
72,Ekiviiriddeko obubenje ensangi zino tekimanyiddwa naye abakugu bakyanoonyereza.
73,Tewali musajja atayagala kukuba ku mbaga kuba kiweesa nnyo ekitiibwa.
74,Ku lwokutaano nkeera nnyo kubanga nkolera wala ate banneetaaga mu bwangu.
75,Omuzimu gwakata muwalawe omuto ne gw'ogera gye yali yatereka ssente.
76,Kirungi nnyo okulima ebikajjo mu lutobazi kubanga bibeera bigonda bulungi.
77,Omutwe gw'ekiwalaata gusaana okuteekebwako enkoofiira buli lunaku.
78,Nze lwe nakomawo okuva e bulaaya nawulira nga ninga azuukidde mu bafu.
79,Afubye okutuyigiriza engeri y'okukwatamu amaka wadde nga nze sinnawasa.
80,Omukyala yenna azadde abalongo tasaana kukyayibwa kuba kimuluma nnyo.
81,Ddayo ewammwe nze sisobola mukyala atamanyi wadde okwoza akatambaala.
82,Teekawo emikono ebiri osobole okulembeka ebinyebwa ebiwera.
83,Omulamuzi yabadde mutuufu nnyo okumusiba emyaka asatu mu kkomera.
84,Mpeereza ku kitabo kyange waliwo bye njagala okuwandiika nga sinnaba byerabira.
85,Enjovu kisolo kinene nnyo lwakuba ate kirina akakira akatono.
86,Obufuzi obuzze bubaawo bubadde tebusikiriza bavubuka kwenyigira mu bya kulonda.
87,Omulambo gw'omuwala gwasangiddwa mu kiyumba ekikadde nga guliko enkwagulo mu bulago.
88,Njagala nnyo omuntu azza omusango ne yeetonda ate n'awa obweyamo obutakiddamu.
89,Olowooza lwaki abaana abato tebaagala kugenda ku masinzizo?
90,Nja kuba musanyufu singa maama anandeetera ebintu bye nnamutumye.
91,Mukazi wange yagaana okuddamu okulya mukene n'ebinyeebwa.
92,Tuula wansi nkubuulire ensonga lwaki nakugobye ku mulimu.
93,Abakazi abasalawo okugezza amabeere kibeera kibi nnyo.
94,Buli muntu mu Buganda ateekwa okuwa kabaka ekitiibwa ekisaanidde.
95,Ababba ettaka ku bakadde abateesobola basaana kuvunaanibwa era bakangavvulwe.
96,Taata bwe nasomanga obulungi yangulira nga empale
97,Kati okwambala olugoye olumyufu e Kampala kintu kya bbeeyi.
98,Saagala nnyo kulya butula buno obwa katunkuma.
99,Osobola okutambula okuva wano okutuuka e Masaka?
100,Olubuto olutali lwetegekere luzza nnyo abafumbo emabega.
101,Ettaka lino liriko enkaayana era ensonga zikyali mu Kkooti okutuusa kati.
102,Omuwala oyo ayambala bulungi naye alemeddwa okufumbirwa.
103,Mpulira nkooye nnyo ate n'omusujja gunnuma okukamala.
